ID,Title,Type,Status,Priority,Owner,Created Date,Last Updated,Target Date,Days in Current Status,Spend to Date,Description,Notes
,â”€â”€ VALID VALUES â”€â”€,RFP | Partner | BD | Idea,Identified | Evaluating | In Progress | Stakeholder Review | Finalizing | In Development | Validating | Passed | Shelved | Closed | No Award | No Contract | Scrapped,Critical | High | Medium | Low,,MM/DD/YYYY,MM/DD/YYYY,MM/DD/YYYY (optional),number,"number (optional, no $ or commas)",,
,,,,,,,,,,,,
,,,,,,,,,,,,
RFP-001,WA mainframe RFI,RFP,Stakeholder Review,Medium,Dennis,03/23/2026,05/13/2026,05/13/2026,1,,,
RFP-002,State of Illinois RFP - UI/UX,RFP,Stakeholder Review,Medium,Dennis,03/23/2026,04/27/2026,,16,,,
RFP-003,State of Illinois RFP - MFaaS,RFP,Stakeholder Review,Medium,Dennis,03/23/2026,04/27/2026,,16,,"In collaboration with Zion, we will be building a Google Cloud Landing Zone for UNL so UNL can perform a Gemini Enterprise Proof of Concept (PoC).",5/15 - Kick-off meetings with UNL in progress.
BD-001,UNL Landing Zone & PoC - Zion Collaboration,BD,In Development,High,Dennis,02/25/2026,05/11/2026,,2,,UNL is in danger of losing their accreditation if they can't effectively report on information the CEAP accreditation committee is requesting. They need to present a plan to the accreditation committee by April 30 for how they're going to gather and present the information needed. ,5/15 - Requirements doc received.
BD-002,Accreditation Tool - UNL Pilot,BD,Evaluating,Medium,John,03/31/2026,04/08/2026,,35,,,
RFP-004,State of South Carolina RFP - Mainframe O&M,RFP,Closed,Low,Dennis,03/23/2026,04/27/2026,,16,,,
IDR-001,Vibe Coding Deployment to Google,Idea,In Progress,Medium,Byron,02/25/2026,03/05/2026,,69,,"Investigate and produce a complete technical pathway for deploying vibe-coded applications (pre-built, scaffolded app templates) into Google Cloud, ensuring alignment with the Technology Diversification / Rapid Innovation Pod’s goals.",
PNR-001,Child Support Trainer,Partner,In Progress,High,John,02/25/2026,05/11/2026,,2,,"Health & Human Services agencies nationwide are struggling with outdated systems that strain staff, drive high turnover, slow training, and reduce productivity, often relying on undocumented processes. To address this, Nelnet is partnering with Google and Global True North (GTN) to launch an AI-enabled workforce support and training platform focused on State Child Support Services staff. The initial use case—AI-enabled caseworker training—provides continuous, scenario-based learning and coaching to accelerate onboarding, with a goal of reducing time to competency from 18 months to 6 months by leveraging Google technologies such as Gemini 3, Vertex AI, and Gemini Live APIs for simulated support calls and real-time feedback.",5/11 - First co-build session with NE complete
IDR-002,Vibe Coding Deployment to AWS,Idea,Identified,Low,Byron,02/25/2026,03/05/2026,,69,,,
IDR-003,Cycling Without Age - Scheduling App,Idea,Shelved,Low,Byron,02/25/2026,03/05/2026,,69,,,
IDR-004,Assess GrantPro Modernization Opportunities,Idea,Identified,Medium,Byron,02/25/2026,04/27/2026,,16,,,
PNR-002,Virtual Path (GTN Proj #2),Partner,Evaluating,Medium,Melissa,02/25/2026,04/08/2026,,35,,,
IDR-004,Claude Code for Existing Products,Idea,Identified,Low,Dennis,02/25/2026,03/05/2026,,69,,,
IDR-005,Reimagine - ScholarNet,Idea,Identified,Medium,,05/05/2026,05/05/2026,,8,,,
IDR-006,College Navigator,Idea,Stakeholder Review,Low,Byron,05/05/2026,05/12/2026,,2,,,
IDR-007,Professional Seal Verification,Idea,Identified,Low,,05/05/2026,05/05/2026,,8,,,
IDR-008,Configurable AI Base Platform,Idea,Identified,Low,Isaac,05/05/2026,05/05/2026,,8,,,
IDR-009,Nelnet Labs,Idea,Identified,Low,Byron,05/05/2026,05/05/2026,,8,,,
PNR-003,Louisiana child support with Northwoods,Partner,Evaluating,low,Dennis,05/12/2026,05/12/2026,,2,,,
